sentence,label
🇲🇦🇵🇸❤️,positive
❤❤❤,positive
❤🤗,positive
❤️❤️❤️,positive
❤❤💚💛,positive
❤,positive
❤❤💛,positive
❤❤🤘,positive
❤❤💜,positive
🐐❤❤❤,positive
🤗🤗❤,positive
❤❤❤❤❤❤😊,positive
❤❤,positive
❤💛💚,positive
الأسطورة 😂❤,positive
حسبنا الله ونعم الوكيل الله ينتقم منهم المجرمين والضالمين,negative
نهار على نهار كنزيد نتأكد ان المغرب ما فيهش الفقراء ههههه واش وحدة تشوفها فالزنقة تقدر تصدق عليها بحال هاديك لي لابسة الاسمال، و فلخر تلقاها عندها ستة د لمليون تحت منها و لا داك البناي لي لقاو عندو سبعة و عشرين مليون جامعها و تعرفات القضية غي فاش خرج للإعلام حيت مشات ليه من البنكة و زيد و زيد...بلا منبقاو فداك التمثيل، كلشي تفرش: لمغربي لمكرد را عندو شي ملينات بالضرورة هههههه. من الان فصاعدا مبقيتش نتصدق على البشر، درهم شاطت عليا نشريها فرماجة لقط دايزة فيه,negative
اللي كيتحمل المسؤلية هو مدير المؤسسة لأنه هو المسؤول الأول والأخير في المؤسسة هو اللي خاصو يتخذ قرار في حق هذه الموظفة بالمتابعة وإرجاع الأموال إلى أصحابها..,negative
تجمعوا كاملين ديروا شكاية موحدة عند وكيل الملك ضد بريد بنك # ملي المحكمة تحدد ليكم الجلسة _ نظرا لضعفكم غادين ديروا طلب لوكيل الملك من أجل المساعدة القضائية # عند قبول الطلب تتجهون إلى نقابة المحامين لكي تعين لكم محاميا أو محامين بالمجان ؤعيد مرة أخرى بالمجان,negative
حسبنا الله ونعم الوكيل فيهم,negative
لا حول ولا قوة الا بالله العلي العظيم حسبنا الله ونعم الوكيل فى كل ظالم,negative
كيشوفو كلشي كيسرق الشعب من مسؤولين و حتى واحد م كيتحاسب حتى ظنو ان السرقة حلال استغفر الله,negative
حسبنا الله ونعم الوكيل في كل ظالم و متعدي,negative
لي عندو رزقوا يديرو تحت راسوا هادشي لي ولينا نسمعوا يألم حسبنا الله ونعم الوكيل,negative
شدوا في مدير الماسسة ثم طالبوا بالكاميرات 😡احشومة ناصبين على الأميين على ناس لاحول ولا قوة لهم الله ياخد فيهم الحق النصابا,negative
حسبي الله ونعم الوكيل كيفاش تيدخلو في الشؤون الشخصية ديال الناس في فلوسهم خاص المدير او كلشي الحبس او البنك البريدي تتحمل المسؤولية مشكلة هادي تيستغلو الناس ماواعيينش,negative
المهم خاص ألناس طالب بمراقبة الكاميرات ديال البنك ويتاحدوا يسدوا كاع الحسابات لي فاتحين وتابعوا المدير حيت هو المسؤول على البنكة,negative
لا حول ولا قوة الا بالله لك الله يا وطني,negative
تجمعوا وديرو مفوض قضائي يدير معاينة ويبلغهوم ور فعو دعوة قضائية ضد مؤسسة بريد بنك راه كاين تأمين على الحساب البنكي والله يعوضكم لا تقة في البنوك,negative
حسبي الله ونعم الوكيل في كل ظالم لاحول ولاقوة الابالله العلي العظيم ناس مساكن كتقهرو ويضرب تمار على قبل وحدين خرين مافيهم لارحم ولا شفقا,negative
حسبي الله ونعم الوكيل 😢🤲🤲🤲🤲,negative
المسؤولية يتحملها بريد بنك و هو من يعوض المتضررين,negative
مبقات التقة لا في الابناك لازم الانسان استاشر مع شي واحد لي فهم تنجي غير في المساكين,negative
اويلي على الشفارة وماديرين في البلاد السيبة والحݣرة لا حسيب لا رقيب الله ياخذ الحق فين باغيين توصلوا هاذ البلاد؟؟؟لك الله يامواطن,negative
البنك هي اللي تتحمل المسؤولية،,negative
بنت الحرام من فعايلها كتاخذ الفلوس و ماكدخلها الحساب ديرو بها شكاية اش غدي تقول قدام الله لاحول ولا قوة الا بالله العلي,negative
لا نقول حياة يرثى لها ، يعني تحزن ، و لا نقول لا يرثى لها,negative
ويلي ويلي لاحول ولا قوة الا بالله بنت حرام مكنتش كدخل ليهم فلوس في الحساب داكشي علاش مكتعطيهمش روسي 😢😢,negative
ادخار الاموال فالمؤسسات البنكية هوا معيار التقدم اما بحال هاد التصرفات تتهرس الاقتصاد ديال لبلاد . المفروض الضرب بيد من حديد على متل هده التلاعبات,negative
لا حول و لا قوة الا باللهكل من يملك دليل و ا ثبات على صحة ادعاءاته حتما سيستعيد وديعته,negative
حسبي الله ونعم الوكيل في كل طالم,negative
لا حول ولا قوة الا بالله ومين عماها الله تشفر مين لي عندهوم حكرات غير على الضعفاء لي مقريينش ان الله يمهل ولا يهمل,negative
وقيل نرجعو نخزنو الفلوس في المخاد ملي مابقات ثقة في الابناك بالسيف كيدوزو الحبس وملي كيخرجو كيتبرعو بفلوس الحرام ديال الناس,negative
راه هم الى ماعندهمش التوصيل بريد بنك لايعترف بانهم وضعو اموالهم في البريد بنك,negative
حسبي الله ونعم الوكيل,negative
حرام عليها ، هاد الناس مساكن مقاتلين مع الوقت جات وحدة جمعات ليهم رزقهم لي حفاو وعراو باش يجمعوه,negative
على هاذ الحساب الواحد مابقاش مأمن على فلوسو فالأبناك ...ذاك النهار بنك ودبا بنك ....آش هاذ المصيبة؟؟؟؟؟,negative
لا حول ولا قوه الا بالله......ماكاين لا مخزن لا والو....ما بقات ثيقة. لا عدالة ولا والو,negative
الوزير شفار الموظف الشفار ويشي يشفر شي وشي يحکر شي لا حق لا قانون الله عليك يابلادي,negative
انعدام المراقبة و المحاسبة راه كثرة الفساد في البلاد. من أين لك هذا الشفارة اولاد الحرام قهرتو الشعب كله الله ياخد الحق في كل ضالم فاسد مخربين للبلاد و العباد المفسدين و الفاسدين و المجرمين و لمن يخون الوطن الله الوطن الملك,negative
حسبي الله ونعم الوكيل الله يخد ألحق في دليمين,negative
لاحول ولاقوة إلا بالله العلي العظيم ربي يأخذالحق ويرد لكم فلوسكم,negative
البنكة هي المسؤولة حيث هي لموظفين هاد السيدة و عاد المسؤولين ديال هاد البنك متيرقبوش مكاين لا مجلس محاسبة لا مراقبة لا حتى حاجة.,negative
على هاد الحالة ،مابقات ثقة،لي عندو شي فلوس يخبيها فدارو....,negative
هادو راه متافقين مالين الوكالة دايرين عصابة مع بعضياتهم,negative
كروش الحرام لي كياكل عرق الواحد ربي مايسهل عليه ياكل فيهم الحرام وكلتهم االله,negative
هاد والله الا مصيبة مبفى مايعجب حسبي الله ونعم الوكيل,negative
طالبوا بي أموالكم وتعويض على الروطار والخلعة والنصب. كل حاجة لها تمان وتعويض,negative
الفساد يستغل الجهل.⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔⛔,negative
لا حول ولا قوة إلا بالله العلي العظيم اللهم لا شماتة اللهم لا شماتة اللهم لا شماتة,negative
لا حول ولا قوة الا بالله العلي العظيم,negative
هاد بريد بنك ديال ثيفلت فيها عصابة ديال بعض الموظفين اللي دايرين السيبة فعباد الله,negative
الله ياخد الحق في الشفارة الطالمين.انشاء الله العداب في الدنيا والآخرة. اكروش الحرام,negative
البنك المركزي هو المسؤول عن كل الخدمات,negative
لا حول ولا قوة الا بالله العلي العظيم واتوب اليه,negative
ما هذا وما ذا نسمع ليس هناك مراقبة في الابناك والصناديق الفساد فاق كل التخيلات,negative
واش ملي الحكومة كضرب المليرو متحسبش وهي تبق تشوف ومتخونش بلاد دراع لي قد على شئ كيدير⁦🖐🏾⁩🌚,negative
المسؤولين المراقبة خاص يخطو فلو فلوسهم لناس,negative
لاحول ولا قوة الا بالله العلي العظيم استغفر الله العظيم حسبي الله ونعم الوكيل حسبي الله ونعم الوكيل حسبي الله ونعم الوكيل اش هد العجب ولينا كنشفوه واش الناس متيخفوش من عداب الله في الدنيا ولا في الآخرة لا الاه الا الله,negative
اقصا العقوبات على الشفرة فجميع الجيهات المغربية...لمدا كترت تشفرت...لحول ولا قوة الا بالله العلي العظيم,negative
متنازلوش اعلى حقكم مدير المأسسة يتحمل المسؤولية الله ياخذ فيهم الحق الشفارة,negative
لله يخوذ فيهوم الحق,negative
ناري على شوهة حتى بريد المغرب بنكة فيها القوالب الجاهزة للنصب على عباد الله المخلصين إلى خرجت برا البلاد هزكم الما القانون لا يحمي المغفلين للأسف,negative
الله يشد ليكم الحق فيها الشفارة,negative
حتى المدير متافق معها,negative
بريد المغرب لايملك اللوجستيك ليصبح مؤوسسة بنكية اما الفساد الدي ينخره فحدث ولاحرج بعض المديرين يتاجرون في العملة الصعبة بربطهم صداقات مع بعض افراد الجالية لحسابهم الخاص اوزيد اوزيد,negative
هادي هي القوالب الموظفين كيمشيو للحساب ل ماليه مكيسولوش فيه على مدة طويلة,negative
الخطأ. ديالهم علاش تيعيطوعليها وتيعطيوها الفلوس بينها وبينهم هما تاقوا فيها بزاف بلا وراق بلا اتبات,negative
خص هد المرة الانسان الى بغا يحط فلوسو يسجل بالفيديو شحال عطاهم مصيبة هذي,negative
من سوس لله يخوذ فيها الحق لله يمهيل ولا يهميل.,negative
بغيت غير نعرف واش هاد ناس كيحطو فلوسهم بلا حتى ورقة ولا حتى لعندو الوراق مشاوي ليه فلوسو شي حد افهمني الله يجزيكم,negative
بنت الحرام .حقرات عليهم .كتختار غير الاميين. الدولة خاصها تدخل وترجع للناس فلوسهم.وتبحث في القضية.واش كاين شي حد كيحط الفلوس ومكياج حتى ورقة .لا حول ولاقوة الابالله العلي العظيم.,negative
خاص ديرو شكاية بل بريد بنك انتما حاطين فلوسكم عند شركة تقتو فيها ماشي عندالموضفة يعطيوكم فلوسكم ويضبرو معها. هما بغاو يقولبوكم تبعو الموضفة وتخليو شركة,negative
حالة يرثى لها ماشي لا يرثى لها الكاميرات هي لي تثبت,negative
شحال من مرا حاطا الفلوس بلا خبار راجلها ...نفس المشكل كان اوقع فمراكش كان السبب فطلاق شحال ديال الأزواج,negative
هل. هناك. بحث. و تحقيق. في. هاته. المصيبة. ضروري. الناس. تاخد. رزقها. لان. هاته. الكارثة. تزرق. عدم. التيقة. في. جميع. البنوك,negative
حسبنا الله ونعم الوكيل.الله ينتقم من الطالمين المجرمين .كما تدين تدان.ان الله يمهل ولا يهمل.ان الدنيا لا تساوي جنح بعوضة الشفارة الجماعة اتقو الله يا طالمين,negative
"' انتم الفقراء الى الله والله الغني"" صدق الله العظيم",negative
ياربي السلامة الله يستر,negative
الإنسان ايلاحط فلوس يشد توصيل ويقراه قبل ما يخرج .,negative
مسؤولية على المؤسسة البريد المغرب برمته. و تعويض يكون من عندها.,negative
الناس ديال ارفود الثقة التامة,negative
گاع المشكيل. مبقاش التقه بهادي لبلاد مبقاش فيها والو لحقيقه,negative
البنك من يتحمل المسؤوليه,negative
لاحول ولاقوة الا بالله,negative
الناس بغات نسبة الفائدة. الطماع تيقضي عليه الكذاب.,negative
تحركوا ديرو شكايات لسيد الوكيل العام,negative
هادي معروفة بالنصب والاحتيال والدراويش هم الضحايا شكون المسؤول هو المدير والبنكة لا يعقل هاذشي واقع لمؤسسة بنكية,negative
الله يوقف معاكم,negative
الناس مأزمة وزادو أزمهم,negative
النصب والاحتيال فلبنك,negative
الله يرحم سعاد ويبين حقها في أقرب وقت 😭😭😭😭😭😭😭,negative
حشومة حسبناالله ونعم الوكيل في كل ظاام يارب العالمين 😢😢,negative
انا ظد الزروالي ولكن هادشي لقال كامل صحيح شوفنا هدشي كامل الفديوات 😢 حسبي الله ونعمة الوكل فكل ظالم,negative
😂😂😂 قاليك كايازرو الزوج وعشيقتة وأمه لي متهمين بتسمم المرحومة سعاد....والزروالي والبوتوبر لي معاه واقفين مع عائلة سعاد البريݣي لي هي إبنة خالت جمال وهم يريدون معرفة من قتل سعاد فهم تتسطى 😂😂😂الزوج مابيهش شكون لي قتل مراتو ومقابل الزروالي علي عندو توكييل من عند العائلة سعاد باش باز هم... أما البوتوبى لي مع جمال اغليتهم عندهم تصفية حسابات مع الزروالي ومن بينهم طوطو سيدي عدي وحنان شانيل وياسين القنيطري تحفيظ ووووووووو😅,positive
مسكينة سعاد المرحومة 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,negative
الله يبين حق المرحومة سعاد علاش هاداك لقنفود كان ناكر مراتو وبناتو😢😢 ربي يبين حقها,negative
الزوج لي دابا كيقول مرتي مرتوا الله يرحمها ملي كانت حية كان ناكرها وناكر بناتو وخطب على المباشر وحدة خرى واحنا فرحانين ليه ومعارفينش راه مزوج وتا ملي ماتت الله يرحمها قال بنت خالتو ماتت حتى عرفنا هادشي من بعدما ما عرفنا انها ماتت مسمومة 😢,negative
كيفاش السيدة ما كملات حتى سيمانة من الموت ديالها وناض دايير العرس وكايردح🤔 فهم تسطا والله القتال لادوزتيها على القضاء المغربي😉 عاش القضاء المغربي النزيه🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦❤️❤️❤️❤️,positive
لاحول ولاقوة الابالله الله العالي العضيم 😢😢😢😢😢😢,negative
هاد الزروالي شحال مكنحملوش ديمة خاشي راس في كلشي😒اهاديك السيدة اللي ماتت انا مكنعرفهاش كنطلب الله يبين حقها,negative
سبحان الله مجموعة متسولي العصر الحديث، أصبح لهم شأن في المجتمع، اليوتيبور😂😂😂😂😂الله يلعن الي ما يحشم.,negative
كلامك صحيح 👍👍👏,positive
الله يبين الحق.الزروالي ❤,positive
الحمد لله الذي عافانا مما ابتلى به غيرنا❤,positive
انا من الجالية الالمانية🇩🇪🇩🇪🇩🇪🇲🇦🇲🇦❤❤❤ وانا مغربي والحمد لله افتخر ولكن مثل هذا الاشخاص يمثلون المغرب اكفاس التمثيل يدعمون مثل اية🌈🌈🌈🤢🤢🤢😡😡 اعوذ بالله حسبنا الله ونعم الوكيل.,positive
الله اعطي لمك شي حجة و يرزق لمك الفرداوس الأعلى لما دير ليا شي ابوني الله اعطيك الصحة والعافية ❤❤❤,positive
بصحتك نيبة درويش تستاهل كل الخير من حقك ❤,positive
تبارك الله عليكم بالصحة والراحة التفويجة 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,positive
تستاهل كل خير اخويا نيبا صوفيا الروجولة تهلات فيك ❤️,positive
لا حول ولا قوة إلا بالله المغاربة شوهة في كل مكان اللهم إنا نسألك لطفك والستر في الدنيا والآخرة يارب 😢,negative
مجتمع الميم 🏳️‍🌈🏳️‍🌈 رغم الاضطهاد الذي نعيشه من طرف أغلب المغاربة في المجتمع المغربي ، وهجرتنا إلى بلدان أروبية وغيرها ، يبقى حب الوطن في قلوبنا 🇲🇦❤️ وولد البلاد وبنت البلاد تبقى في القلب مستحيل نفوتوه في الغربة ، الحب هو الحب والحب هو أصل الحياة والغاية منها أزول فلاون من أمستردام❤️🇳🇱🇳🇱🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🏳️‍🌈🇳🇱🇳🇱🇳🇱🇲🇦🇲🇦🇲🇦,positive
❤❤❤ خونا نخنوخ👍خونا،فوزي تهلا😊وإنشاء الله ترجعوا بالسلامة 😊,positive
تحية ل ظاهير ❤😢 يامات العز و الرجولة دابا جا هاد الحتالة و ولا عندو عادي يبان مع المثليين الحمد لله الذي عفانا مما ابتلى به غيرنا🤲🏻🤲🏻,negative
ناري نيبا تبدل حيييييييياة فينك لقضياء فيها صوفيا طالوني 😂😂😂😂😂😂😂😂😂😂😂😂,positive
ديما كانسمع حارو فيه الاطباء اليوم شفتهم اطباء حارو فنخنوخ 😂😂😂,positive
نخنوخ و طالوني والله مايزكلو😅😂😂😂😂😂,positive
😊يوم يصبح الرجال نساء فإعلم ان الشيطان قد شارف على إنتهاء عمله,positive
أعوذ بالله حسبنا الله ونعم الوكيل 😢,negative
نخنوخ حسيب بيهم غيخرجو عليه حيت دوك جوج اطباء ممفاهمينش ههههه عفلو عليها نهار نتيجة غيبان بحال شي قريديس 😂,positive
والله واخا يغنيني بحال داك نوع منشوفش فيه حت شوفة ناس دب وريهوم غير لفلوس اسير لهيه غير الله ادير شي تاويل ديال لخير اصافي😢,negative
بنهرا و نخنوخ واووووو،واعرين بجوجنخنوخ منخنخ فتركيا حوايجو ما بدلمهم....بنهرا 😊الي متافق يدير لايك بنهرا يدير مفاجأة للمغاربه و خوتنا و عاىله نور الدين نيبا🎉🎉,positive
كاش نهار تبيع حياة وبنتك على جال فلوس 😡😡😡😡😡,negative
ههههه شرغو😂😂😂😂,positive
تحية حب وإحترام لهذا المغربي 😘 أخوك من الجزائر 🇩🇿🇩🇿🤝🇲🇦🇲🇦,positive
ما جذبني للمقطع هو ان لويسا تحجبت وأسأل الله أن يثبتها ويرزقها الحجاب الكامل ❤️❤️,positive
😜😜😜😜👌👌,positive
الله يسهل عليك ا سي براهيم و يسخر للاخ فالمشروع ديالو ❤,positive
المغربي الوحيد لي مستحيل نكرهو. الله يكون معاك و يهنيكم ❤,positive
بصحة وسلامة خويا ابراهيم تستاهل كل خير ❤ عافك متبقاش تغيب علينا بزاف 🙂,positive
المغربا ديم رافعين راية لبلاد في ما مشاو تحيا لكم من المغرب 🇲🇦🙏❤,positive
عودة ميمونة ان شاء الله توحشناكم ❤ مبروك عليكم الموطور الله يدخلو عليهم بالصحة و العافية ان شاء الله و الله يكتب ليكم دائما السلامة فالطريق 🤩🤩,positive
السلام خويا إبراهيم مبروك عليك الدرجة الله يدخلها عليك بالربح ومزيد من التألق ❤❤❤❤❤❤,positive
طولت الغيبة يا ابراهيم ليك وحشة كبيرة خونا تحياتي ليك من تونس واصل أخي ربي يوفقك 🇩🇿🇹🇳🇲🇦❤️,positive
مبروك الدراجة النارية سي ابراهيم و لويسا تستاهلوا كل خير ، الله يسر ليكم الأمور و تحققوا ما تمنيتوا .❤❤❤❤❤❤,positive
❤❤❤ الفيديو واعر ❤❤❤ مرة مرة زورو نبيل باش ميحسشي بالغربة باينة فيه انسان قلبه رائع 😻😻 و مبروك الموطور فرحتلك بزاااف عقبال تحقق كاع أحلامك إن شاء الله,positive
الف مبروك حجاب لويزا ربي يتبتك ويخليكم لبعض تحياتي من جزائر 😊❤,positive
خويا إبراهيم الله يجعلها مركبة مباركة داىما دير دعاء الركوب والسفر باش ربي يحفظك نتا ولويزا من الحوادث الله يحفظكم من كل سوء❤,positive
اروع والطف زوجين شفتهم متواضعين ومتحابين ربي يخليكم لبعضاكم❤,positive
على سلامتك خويا لعزيز ❤ والله ايسر لك امورك يارب 🤲,positive
ولله الا توحشناك اخويا ابراهيم ومرت خونا لويسا الله يحفظكم ومبروك عليك الموطور الجديد يدخل عليكم بالخير والصحة والسلامة❤❤❤,positive
نعمة تربية الله يخليك الولدة خوي لعزيز ❤,positive
وااااا شحال توحشتكم أخويا إبراهيم ❤,positive
تحياتي لولاد بلادي ربي معاكم ❤❤🇲🇦🇲🇦🇲🇦,positive
أحسن كوبل فالعالم أحبكم في الله 💚❤️,positive
بالصحة و الراحة اخي تستحق كل الخير❤,positive
بالتوفيق خوي تستاهل مليون متابع ❤❤❤ محتوى طوب وديما كاز,positive
❤🎉 اللهم 🤲🏻 بارك خويا إبراهيم الله 🤲🏻 إصخر أخويا أربي إحفظكم من شر الخلق,positive
اللهم بارك خويا إبراهيم ، ربي يحفظك إنت و لويزا و أخيرا رجعنا شفناك والله مشاهدة فيديوهاتك تفرحني ❤,positive
على السلامة ومبروك عليكم الموطور الجديد الله يبارك ليكم وااعر.مباقيش تغبر علينا بزااف ولفنا الجولات ديالك 😊,positive
اشتقنا لكم اتمنى ان تكون اموركم جيدة ولا تتاخروعلينا مرة اخرى😂❤,positive
مبروووك عليك ❤❤❤ تستاهل كل خير يا أحسن بيهي فالعالم ❤❤❤,positive
وأخيرا عدة إلينا ياإبراهيم ويالويزا ..إشتقنا لكم كتيرا ..أعرف أن صناعة المحتوى يتطلب الوقت لاكن لاتغب كتيرا ..وكن حدرا مع الدراجة وتهلا في لويزا ⁦❤️⁩⁦❤️⁩⁦🇲🇦⁩⁦🇨🇴⁩⁦🇲🇦⁩⁦🇨🇴⁩⁦🇲🇦⁩⁦🇨🇴⁩,positive
الله يبارك ليك فيه و الله يفرحك يا أخي أنت و جميع المغاربة ❤️💚,positive
تحياتي لك اخي إبراهيم ولويسا بصحتكم مطور زوين مطعم زوين 🇲🇦🇲🇦 😍😍,positive
مبروك عليك ما شاء الله كنبغيكم و الله يسر ليكم و لويسا ما شاء الله كتحمق ❤❤❤,positive
اليوتربر الواحد لي ماندمتش حيث تابعتو بصحة الموطور اخويا براهيم غي واحد البلان خويا براهم بقا دير لينا فيذيوهات طوال بروجولة❤,positive
هادشي كيالم بزاف ياربي تحفظ ولدي ووليدات المسلمين أجمعين 😢😢😢,negative
عهد مسكين بغا يتوب ولكن ملقاش ليعاونومع للأسف الشديد عاونوه مسكين راه معذب😥😭,negative
لا حول ولا قوة إلا بالله العلي العظيم ياربي عاون خاوتنا لمغاربة🇩🇿❤🇲🇦,negative
ياربي تعفوا على هذا الولد 🤲😭😭في هاد رمضان الكريم,negative
والله يلا قطعلي قلبي الله يسترو وبردو للطريق المستقيم يااارب اهدي أولاد المسلمين يااارب😭😭😭 وابعد عنهم الفتن واحفظ أولادنا,negative
بقافيا بزاااااااااف 😭😭😭 الحمد لله الذي عافانا مما ابتلى به غيرنا,negative
ماشاء الله ولاحول ولاقوة الا بالله العلي العظيم الله اعفو على هذا الشاب يارب😭😭😭,negative
لا حول ولا قوة إلا بالله ارحم من في الأرض يرحمكم من في السماء 😭😭😭😭,negative
لآ حول ولا قوة إلا بالله العلي العظيم الله يلطف بعباده 😭😭,negative
ڤيديو عظيم .. لا يقل عظمة عن ڤيديو السفر عبر الزمن ..شكرا لك 👏,positive
أخيراً شي حلقة، هرمنا من أجل هذه اللحظة❤️,positive
دائما متالق أرفع لك القبعة كالعادة 🎩تحليل رائع 👏 لك كل احترام وتقدير,positive
كنتحدى واش كاين شي واحد كيدوي بالعربية يوتيبر كيدير محتوى بهاد الثقل وهاد التحليل و هاد الكام الهائل من المعلوماات ❤️❤️❤️❤️❤️,positive
مروان ديال هنا مشي هو مروان ديال التويتش 😼😹😂😂😂😂😂😂😂😂😂😂😂,positive
برافو … اتمنى ان تتكلم عن الارض المسطحة و تقول لنا كيف تنتهي الارض المسطحة؟ ؛ هل تمتد الى ما لا نهاية ؟! ام انها تنتهي عند حافة !؟ 😂,positive
رائع رائع أنت البارع ❤️❤️ تبارك الله عليك عزيزي مروان عمل رائع متعتنا بهاذ الفيديو الحلو و الموسيقى التصويرية خاصها كيت أوريجينال 😁 تبارك الله مونطاج نقي و معلومات محبوكة . أسرع ساعة دوزت هاد العام هههه. ما تغبرش علينا ❤️❤️,positive
نتا من اليوتيوبز المغاربة لي كانفتاخرو بيهم كمل اخاي وفيق لينا الناس لي استحلاو نضريات المؤامرة والكون كايتآمر عليهم 🇲🇦❤,positive
والاه مكرهنا فيديوات بحال هادو بهاد الطريقة دالهدرة ديالك اللي كاتدل على انك واحد الانسان اللي واعي و مثقف بالقدر الكافي❤️تقدر تدوي على واقعة تشرنوبل و دير لينا شي فيديو عليها,positive
منيش قادر نتحمل 😭😭😭 انتظرناك ريان لنراك تكبر ولكن قدر الله وما شاء فعل إن لله وإن إليه راجعون عظم الله اجركم إخواننا 🇩🇿🇩🇿🇩🇿♥️♥️♥️🇲🇦🇲🇦🇲🇦,negative
الحزن حزننا جميعا ولكن الأم حالتها لا يعلمها سوى الله...اللهم ٱجعله مع الصديقين و الشهداء تعازينا للإخوة المغاربة 💌🇩🇿🇲🇦ريان خونا و جزء منا,negative
إن لله وإن إليه راجعون ريان مات لكنه لن يموت في قلوبنا وسنبقى نذكره دائما ريان طير من طيور الجنه ربي يصبر ولديه عليه وصبرنا يارب🤲🇩🇿🇩🇿,negative
تعازينا الحارة لأهل ريان ولكل المغاربة إن لله وإن إليه راجعون 😭💔⁦🇲🇦⁩⁦🇩🇿⁩,negative
تعازينا لأهل الطفل وللشعب المغربي بأكمله💔🇾🇪,negative
تعازينا الخالصة لوالدي ابننا ريان 🇲🇦🇩🇿 وإلى الشعب المغربي من طنجة حتى القويرة الله يصبر ميمتو وباباه ويصبرنا كاملين والله ماراني قادة هاذ الولد أثر فينا كاملين تحية كبيرة من تلمسانية إلى كل من ساهم في إخراجه ❤️😢😢,negative
تعازينا من فلسطين 🇵🇸 إلى والديه 🌷وإلى أهلنا في المغرب الحبيب 🇲🇦💚الله يرحمه ويسكنه فسيح جناته ويصبر اهله ياارب,negative
ريان خونا و قطعلنا قلوبنا 💔💔😭😭😭 ربي يرحمو و يجعل قبره روضة من رياض الجنة اللهم آمين يارب العالمين 🇩🇿🇩🇿🇩🇿,negative
تعازينا الخااالصة لوالدي ريان❤️ وللمغاربة كاملة 🥺🥺 والله بكاتني ماماه وباباه الله يصبرهم ان الله وان اليه راجعون😢اختكم من الجزائر🇩🇿🇩🇿🇩🇿✌️,negative
ربي ألهم الصبر و السلوان لوالديه إن لله و إن إليه راجعون لله ما أعطى و لله ما أخد و الله أثر فينا بزاف 🇩🇿🇩🇿🇩🇿🇩🇿🇩🇿🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦 قلوبنا معكم يا أهل المغرب,negative
أعزي الشعب المغربي وأعزي انفسنا لأنه ابننا أيضا وأعزي جميع الدول العربية لأنه ابن الجميع انا لله و انا اليه راجعون الجزائر كلها تبكي رياااااااااااااان والله راني مصدومة 🇩🇿🇩🇿,negative
