tweets,type,class
وأخيرا فنان وأعتز بها فنان وتقاتلت بزااف عليها فنان وفرحان والحمد لله بغيت نشارك معاكم أحلى أوقاتي,positive,dialectal
قريبا غادي نوريكم واحد الحاجة من شحال هادي وأنا خدام عليها وتحياتي ليكم كنبغيكم بزاف ,positive,dialectal
وجوه الخير موعدنا يوما الجمعة والأحد المقبلين في ساحة الحرية بمدينة الگارة على الساعة السابعة,positive,dialectal
الحمد لله الحفل داز مزيان والجمهور كان زوين بزاف تحياتي لولاد و بنات بلادي وكشكر سي نورالدين,positive,dialectal
ولاد وبنات بلادي توحشتكوم موعدنا يوم الأحد أبريل في إختتام مهرجان السينما بإبن جرير ,positive,dialectal
الحمد لله كلشي داز مزيان شكرا لكل الناس لي كانو حاضرين ,positive,dialectal
وجوه الخير حنا فالإستعدادات واش واجدين ,positive,dialectal
نهاركم مبروك بداية أسبوع موفقة ,positive,dialectal
 عجباتني هاد اللعيبة جاوبوني بالصراحة ,positive,dialectal
الحمد لله بالموسيقا ديالي وصلت و دزت فبزاف دالبلايص وهذا شرف كبير ليا وهذا من فضل التشجيعات,positive,dialectal
شكرا بزاف الناس ديال تممارة الحمد لله الحفل داز مزيان وشكر خاص للسيد ,positive,dialectal
كل عام والمرأة بألف خير بمناسبة عيد المرأة ,positive,dialectal
وجوه الخير تسناوني ف طوپ كوڤر مع طوپ تيڤي كنبغيكم ,positive,dialectal
نصيحة اليوم فكر مزيان قبل مدير أي حاجا وفاش تقتانع عاد خود القرار ,positive,dialectal
نصيحة اليوم تيق فراسك وكون نتا هو نتا كون داكشي لي بغيتي ماشي داكشي لي بغاو هوما ,positive,dialectal
صباح الخير كازابلانكا نهاركم مبروك ,positive,dialectal
أمي الحبيبة كل عام وأنت بخير سنة سعيدة وكل عام وأنت حبيبتي كنبغيك ,positive,dialectal
نصيحة اليوم كيفما تدين تدان ديرها غير زوينا ,positive,dialectal
نهاركم مبروك كنصحكم تجيو ديرو دورة فالمعرض الدولي للنشر والكتاب باش تستافدو شوية ,positive,dialectal
صباح النور مسجد الحسن الثاني الدار البيضاء,positive,dialectal
حبابي أغلى الناس شكون كيتسنا الجديد يبان هنا ,positive,dialectal
نهاركم مبروك بغيتكم تسولوني أي سؤال طاح ليكم على بالكم و نحاول نجاوبكم ,positive,dialectal
كنشوف بعيد وداكشي لي بغيت نوصل ليه كيبانلي قريب بالخدمة والجد أي حاجا ممكنة ,positive,dialectal
صباح النور ونهاركم مبروك ختي وخويا صغار سمعو الجديد وعجبهم كيقولو ليكم تسناو الجديد ,positive,dialectal
نهاركم مبروك شكون غادي يتفرج ليوما فالماتش ديال المنتخب المغربي و فناضاركم اشنو غادي يديرو ,positive,dialectal
نهاركم مبروك واش نتوما لاباس ,positive,dialectal
الحمد لله كلشس داز مزيان مع جمعية أميج شكرا بزاف كازا ,positive,dialectal
شكرا بزاف لأعز الناس لي سولو فيا صراحة مريض بزاف ولاكن كين تحسن الحمد لله كنبغيكم بزاف ,positive,dialectal
لي عريز عليه يدعي معايا بالشفاء,positive,dialectal
الفنان الشعبي الحاج موغيت عجباتو أغنية وكيسلم عليكم كاملين ,positive,dialectal
جلالة الملك محمد السادس يهنئ مجموعة فناير,positive,dialectal
تحياتي لأحسن فانز فالعالم كنبغيكم ,positive,dialectal
صباح النور وجوه الخير ,positive,dialectal
نهاركم مبروك ,positive,dialectal
سررت بلقائك أخي الإعلامي المتميز ,positive,dialectal
نهاركم مبروك شكون كيتسنا كنبغيكم ,positive,dialectal
نهاركم مبروك واش عندكم شي شتا ,positive,dialectal
الحمد لله داز التصوير مزيان كنشكر فريق العمل و الناس لي شاركو معايا كاملين كنبغيكم بزاف تسناو,positive,dialectal
الأغنية الجديدة سالات تسناوها قريبا إنشاء الله كنبغيكم بزاف ,positive,dialectal
سلام وجوه الخير صراحة هادشي زوين أول مرة كنحضر ليه يا سلام ,positive,dialectal
شكرا بزاف تفكرتوني فعيد ميلادي فاليوم لي ولدوني فيه جوج ديال الناس الواليدين الله يطول فعمرهم ,positive,dialectal
يوم جميل مع عائلتي الجميلة نهاركم مبروك ,positive,dialectal
سبحان الله الماء كثير ومكيحبسش والجو زوين بزاف وجوه الخير شكون فايت ليه مشا لهاد البلاصا ,positive,dialectal
تحياتي ليكم حبابي كنبغيكم جنان عين اسردون,positive,dialectal
نهاركم مبروك الإستمتاع بالوقت مع عائلتي الجميلة منابع أم الربيع,positive,dialectal
زيادة جديدة فالعائلة مبروك عمي رشيد تتربا فعزكم إن شاء الله ابن جرير,positive,dialectal
صباح النور حبابي جمعة مباركة ابن جرير,positive,dialectal
صباح النور الحب والموسيقى ,positive,dialectal
عيد مبارك سعيد نهاركم مبروك ,positive,dialectal
نهاركم مبروك واش غدا العيد الحباب ابن جرير,positive,dialectal
كنفكر بزاااف وكنعطي وقتي كامل باش تسمعو موسيقى زوينة ونقية ,positive,dialectal
كن راقيا بفكرك بكتاباتك بأفعالك بأخلاقك ستجذب إليك قلوب الناس وإن كانوا لا يعرفون عنك أي شيئ,positive,dialectal
ليلة القدر خير من ألف شهر مبروك عواشركم ,positive,dialectal
نهاركم مبروك يا أعز الناس ,positive,dialectal
حبابي نهاركم مبروك تقبل الله صيامكم كنبغيكم ابن جرير,positive,dialectal
سلام وجوه الخير واش عرفتو هاد الممثلين الزوينين ,positive,dialectal
بصحة فطوركم ,positive,dialectal
هنيئا لكل الآباء بعيدهم الذي يصادف الله يخليك لينا يا أبي العزيز ,positive,dialectal
مساء الخير حبابي كنبغيكم بزاف ابن جرير,positive,dialectal
بصحة صحوركم كنبغيكم ,positive,dialectal
وجوه الخير شهية طيبة بصحة فطوركم ,positive,dialectal
 وجوه الخير باركو ليا وليت عم ,positive,dialectal
بصحة فطوركم ,positive,dialectal
نهاركم مبروك كنتلفو الوقت شويا قبل ميأذن أنا وأخي الصغير ابن جرير,positive,dialectal
وجوه الخير شكون توحشني أنا بعدا توحشتكم أحبكم ابن جرير,positive,dialectal
بداية أسبوع موفقة كنبغيكم ,positive,dialectal
 أصدقائي حصلت على الجائزة الذهبية من شركة يوتوب,positive,dialectal
الحمد لله كلشي داز مزيان شكرا الناس ديال فاش ,positive,dialectal
كنت مريح فكافي وجات حدايا هاد لمشيشة وعجبها لحال يا سلام ليلة سعيدة وجوه الخير ,positive,dialectal
اليوم غادي تسمعو واحد الكوڤر مفاجأة وجوه الخير شكون بغا يسمع ابن جرير,positive,dialectal
بعد قليل مفاجأة بصوتي وصوت الفنان حديفة شكون يسمع ,positive,dialectal
أحبابي هذا أنا فاش كنت صغير كلشي على اللبسة والوقفة والشوفة ,positive,dialectal
مساء الخير وجوه الخير ,positive,dialectal
أختي الصغيرة نسرين كتسلم عليكم ,positive,dialectal
الغروب والجو الجميل في مدينة آسفي ,positive,dialectal
صورة للذكرى مع ناس عرفتهم فقط فالفيسبوك وتلاقيتهم ابن جرير,positive,dialectal
الحمد لله الحفل داز مزيان شكرا ناس مدينة البهجة مراكش ,positive,dialectal
الحمد لله كلشي داز زوين تسناو الڤيديو كنبغيكم ,positive,dialectal
نهاركم مبروك جمعة مباركة واجدين ليوما باش تسمعوا الأغنية الجديدة ,positive,dialectal
نهاركم مبروك غدا إنشاء الله الأغنية الجديدة ,positive,dialectal
سلام وجوه الخير أي واحد كيتسنى الأغنية الجديدة يدير ڤيديو صغير يقول فيه الاسم والمدينة فين ساكن,positive,dialectal
وجوه الخير عندي ليكم مفاجأة ليوم شكون بغا يشوفها ,positive,dialectal
مي لحبيبة كل عام ونتي بخير سنة سعيدة الله يخليك لينا أحبك ,positive,dialectal
شي دعوة مع جدي الله يشافيه ,positive,dialectal
جدتي الله يخليها لينا دعيو معاها بالشفاء,positive,dialectal
بصحة غداكم ونهاركم مبروك,positive,dialectal
زيدو مرحبا بيكم بصحة غداكم طياب لميمة الله يخليها ليا,positive,dialectal
وأخيرا لقيت مول كاوكاو تصورت معاه رجل طيب بزااف ,positive,dialectal
من أحسن الحوايج لي كيعجبوني بزاف فالصويرة هي الألوان المتناسقة ,positive,dialectal
ضحك للدنيا تضحك ليك ,positive,dialectal
قولوا لي بصحة الطربوش الملكي ,positive,dialectal
 الشعب يحب الملك و الملك يحب الشعب,positive,dialectal
الحمد لله أختي أحلام نجحات خدات الباكالوريا ديالها ,positive,dialectal
صباح النور وجوه الخير,positive,dialectal
شحال زوين يكون عندك عمك كيفهمك ,positive,dialectal
جو فشكل ولاكن زوين كنشوفكم اوجوه الخير ,positive,dialectal
الحمد لله كلشي داز مزيان فرحنا هادوك الوليدات والبنيات الصغار الله معاهم,positive,dialectal
راني كنبغيك,positive,dialectal
 مختفون كاين الخير في المغاربة,positive,dialectal
الله يصبرك ,positive,dialectal
ما احلاها مافى شئ له نفس تأثيرها على روحى ,positive,dialectal
ربى يحفظ بلادى ويبعد عنها الحاقدين,positive,dialectal
يلا نضحك من القلب ,positive,dialectal
كرهت هدا الروتين,negative,dialectal
 كرسي واعر,positive,dialectal
الحمد لله مزال الخير في الناس,positive,dialectal
ربي يحفظ بلاد الحرميين,positive,dialectal
اه بصح ولكن كوميم كيبقاو اجواء زوينين,positive,dialectal
لقينا لي يدعمنا بقى لينا غير ندعمو اسرائيل الله يصلح الحال و صاف,negative,dialectal
وي زوين,positive,dialectal
وي واعر بزاف,positive,dialectal
ناريييييي باش فكرتيني الزمن الجميل,positive,dialectal
مرحبا ,positive,dialectal
حتى تكونو نتوما دولة عاد باش ترجعوا صحرا دولة طفرتوه نتوما فموريتانيا بقات ليكم غير صحرا,negative,dialectal
الله يفرحك اسي جواد ,positive,dialectal
هادشي لي عطى الله,negative,dialectal
الله يرحمنا الخوت,positive,dialectal
الله عليكم يا شعب التويتوما العظيم ,positive,dialectal
طحت ف واحد المسلسل مصري واااعر ديال هاني سلامة فارس احلام الطفولة ,positive,dialectal
كاين نوع ديال الرجال كيعجبهم لمرا الضعيفة لي تبقى ديما محتاجة ليه ومتقدرش تعيش بلا بيه باش يفركها ويحكها مزيان ومتقدرش تهضر ديك ساعة كيحس بروجولتو,negative,dialectal
شكرا زين غادي نجربهم,positive,dialectal
الله يدوزو على خير,positive,dialectal
مكنحملش شهر جوج عندي فيه ذكريات خايبة بزاف ,negative,dialectal
شكرا خويا,positive,dialectal
لا سمحلي اعزيز ممتافقاش معاك الاشهار اصلا هو العرس والاشهار كيديروه مالين العرس ماشي الضيوف اما باش واحد من المعزومين ينشر صور العروسين من غير اذنهم هدا راه سميتو انتهاك للحرمة,negative,dialectal
حنا غير الريح مكاينة شتا,negative,dialectal
يعني حاطة لمغرب مقسوم على اثنين وجاية تسولي هاد السؤال ياخي بركا من النفاق,negative,dialectal
واعرة شوفيها,positive,dialectal
 ربي يخليك,positive,dialectal
ان شاء الله ياربي,negative,dialectal
لا دنيا لا اخرة على الاقل الى منتاحرش يكون عندو امل فسعادة الاخيرة,negative,dialectal
يضحك ليك الخير والربح اخويا تصبحوعلى خير البنات,positive,dialectal
احسن مادرتي فحياتك,positive,dialectal
معنديش معاه من ديما ودابا ولا ماعنديش معاك كتر كاع هادشي على البوز,negative,dialectal
مرحبا بيك ازين ديالي فاي وقت دار دارك ماتحتاجيش عراضة,positive,dialectal
اييه ماشاء الله,positive,dialectal
بصحتكم كلشي مزيان ,positive,dialectal
الله يعفو علينا من هاد البلاد الكحلة,negative,dialectal
راه ما استاذ ما والو راه عندو غير لباك ,negative,dialectal
امين ازين ربي يخليك,positive,dialectal
متافقة معاك,positive,dialectal
 عرفت غير تنظحك معاك,positive,dialectal
عجبني الايقاع ديالها ,positive,dialectal
اسيدي معندي منتسالك,positive,dialectal
 لهلا يخطيك حبيبتي الله يحفظك قولتيها بحال ايلا دقتو,positive,dialectal
بنت مختفية هادي جوج سيمانات هما واليديها تيقلبوا عليها ليوم لقاوها ميتة فشي غابة,negative,dialectal
هادي اهانة فحق القفطان,negative,dialectal
هادي هي حقيقة التيتيزات للاسف,negative,dialectal
بهدلو لينا القفطان ,negative,dialectal
تقريبا ديك سيدة اتفق الكل على حبها ,positive,dialectal
الله يفرحكم بيها,positive,dialectal
 بصحة وراحة,positive,dialectal
فعلا صوتها من اروع ما كاين,positive,dialectal
الله يكتر خيرك,positive,dialectal
 غير تنضحك الله يطول العمور,positive,dialectal
قديم مع راسك ,negative,dialectal
يبغيك الخير والربح,positive,dialectal
كان رجل مزيان الله يصبرها وصافي ,positive,dialectal
سلات مني شدات ف رقية الله عليك يا فخر العرب والعجم الله الله,positive,dialectal
