tweets,type,class
وقد بلغنا الأمانة إلى مكانها الثانوية التأهيلية الجديدة ارفود شكرا لكم جميعا ,positive,standard
وقد وصلت إلى مكانها وشكرا لكم جميعا ,positive,standard
هذا الصباح توصلنا من السيد مشكور جدا على مجهوداته الخاصة شخص رفقة مجموعة من الاشخاص عرفناهم هنا معروفون بنكران الذات تحية لهم جميعا وغبرهم شكرا للجميع لكل من ساهم في انجاح هذه الفكرة المشروع شكرا وشكرا وصولا للتقدير والاحترام,positive,standard
صباح الورد لأطيب ناس,positive,standard
لنحاول المساعدة على تدفئة أطفال صغار يواجهون قساوة الطقس والمناخ باجسادهم الضعيفة ,positive,standard
وهذا لا يسمى مجتمع مدني ولا يستحق ان يسمى مجتمع مدني المشكل هو غياب ثقافة العمل الجمعوي والمجتمع المدني,negative,standard
كل عام وانتما بألف خير ,positive,standard
أنا شخص سيء الحظ وأنت أسوأ مني على ما أعتقد ,negative,standard
توصلنا في هذه اللحظة بمجموعة من الكتب المهمة من طرف السيد مشكور على مساعدته ومساهمته وعبره الشكر موصول للجميع ولكل تويتوما شكرا لكم وصولا للتقدير و الإحترام ,positive,standard
مودتي لكم جميعا وشكرا استاذ ياسر معرفتكم شرف ,positive,standard
الله ايجازيك بالخير السي عادل ولو انك كتقولي منشكركش لكن معندي مندير ,positive,dialectal
صباح الورد عليكم في هذه اللحظة في هذا الصباح توصلت الثانوية بمجموعة من الكتب التي تم جمعها على مستوى الدار البيضاء والنواحي فشكرا للصديق وعبره شكرا لكل ما ساهم في هذه المكتبة,positive,standard
شكرا لكم,positive,standard
عفوا مرحبا ,positive,standard
مساء الورد مدخل نقدي تأسيسي ,positive,standard
الله اسخر السي عادل,positive,dialectal
الله أحسن لعوان كنقدر الظرفية مهم راه قرارك صحيح,positive,dialectal
شكرا جزيلا لك اكيد سيعجبونهم وسيساهمون في اغناء المكتبة وستعم الفائدة كل من مر بالثانوية ,positive,standard
كل عام وانت سعيد وجميل باختلافك ,positive,standard
ارجو لك كل السعادة والحب والسلام ,positive,standard
ارجو لك كلها سعادة وبتحقيق كل النجاحات ,positive,standard
ستكون بخير ارجو لها الشفاء العاجل,positive,standard
سنة سعيدة لك استاذتي أيضأ ,positive,standard
كل عام وانت بخير وسعادة دائمة,positive,standard
شكرا جزيلا لك نحن سعداء بدعمكم,positive,standard
عندما ننصت جيدا نكتشف جمال الطبيعة و إبداعها,positive,standard
ارجو لك الشفاء العاجل يارب,positive,standard
بالتوفيق لك,positive,standard
وانا اعتذر بدوري كل التقدير,positive,standard
اذا مر يناير والليفر في الصدارة معناه اللقب قريب من اللقب,negative,standard
الفيديو صحيح للأسف,negative,standard
أنت من جئت لصفحتي لتناقشني وبعد ذلك تقول لا أستطيع أن أناقش أنت تعيش تناقض ذهني,negative,standard
لا يجب السكوت عن كل ذلك لكن ما حدث عظيم,positive,standard
من يقول ذلك الكلام فهو يحاول تبرير العنف والإرهاب والعنف والإرهاب لا يمكن تبريره,negative,standard
لا شيء قابل للفهم مع مثل اولئك,negative,standard
انصرنا يامولانا ,positive,standard
إذا كان الفيديو صحيح فهو أكبر من عمل ارهابي,negative,standard
لا أقصد ذلك بل يجب الحسم معهم وأي شخص ينشر منشور في مواقع التواصل فيه نزعة عنيفة وتحرض على قتل الآخر يجب تجريمه,negative,standard
واحد الصديق ديالي وراني الفيديو ندمت اللي شفت هديك البشاعة والله اخويا الا كرهت تسدات ليا الشهية ,negative,standard
هل الفيديو المتداول صحيح أي نوع من البشر اولئك ,negative,standard
تحياتي لكما في بعض الأحيان نحن نخطئ في حق أمهاتنا فقط عندما نخطئ في حق انفسنا,positive,standard
لا تنحني لأحد لا تعتذر عما فعلت إلا لأمك سواء كانت على قيد الحياة أو غادر جسدها وبقيت روحها ترفرف عليك,positive,standard
هذا الشخص جميع منشوراته متطرفة وفعلا أنا شخصيا لن اقبل أن يدرس عنده إبني,negative,standard
عيد ميلاد سعيد وكل عام وانت بالف خير,positive,standard
الله اعطيك الخير اخويا والله ارحم والدينا ووالديك اخويا شكرا ,positive,dialectal
عندما تجد رغبة مثل هذه تشعر بفرح غريب صدقوني هذا الشعب يستحق حكومة افضل ويستحق تعليم أفضل ويستحق صحة افضل,positive,standard
مرحبا صديقي ساتواصل معك الله اعطيكم الخير,positive,dialectal
مرحبا أكيد لنبقى على تواصل,positive,standard
ارجو ان ننجح في تأسيس مكتبة بالثانوية وأكيد سننجح بفضل هؤلاء الناس الطيبين,positive,standard
شكرا لك يا صاحب العقل الكبير ,positive,standard
عظيم شكرا لكم ,positive,standard
واحد الصفر اشجعهم كمغاربة ,positive,dialectal
أكيد غادي توصل ,positive,dialectal
متفقدش الأمل صديقي راه المستقبل افضل اكيد ,positive,dialectal
الفعل اللي قام به عجرفة,negative,standard
متقولش هكاك والله هذا من كرمك صديقي وانت قمت بأكثر من الواجب والله اكثر من امثالك الله يعطيك الخير,positive,dialectal
شكرا لك أستاذ على المساهمة الرائعة ,positive,standard
تحياتي وكلنا نحب بعضنا نحن ابناء وطن واحد ,positive,standard
شكرا خديجة ,positive,standard
الله اعطيه الجنة,positive,standard
شكرا جزيلا أستاذ ,positive,standard
تفهم الأشياء وفق عواطفها وليس وفق عقلها دائما يحاولون فهم الأشياء كما يريدون وينظرون لها وفق منظارهم وهذا إحدى وظائف الايديولوجيا وهي التشويه بمعنى محاولة قلب الواقع,negative,standard
الله ارحمها يارب,positive,standard
السياسيين عندنا عندهم هوايات حيوانية إجرامية مثل السرقة والنصب والقتل,negative,standard
مؤلم والله مؤلم جدا ,negative,standard
شكرا شكرا في الحقيقة أنت من تستحقين ملايين التحايا,positive,standard
مبروك للرجاء البيضاوي في انتظار جلب الكأس من قلب افريقيا ,positive,standard
كل التوفيق لرجاء الشعب اليوم في نهائي الكنفدرالية ,positive,standard
كون أكيد انهم فرحانين بكم وقابلين على حتى النص فهدش ولا الربع ديالو وشكرا لك وعبرك الشكر لكاع ولاد الشعب اللي كيفكرو فولاد الشعب,positive,dialectal
تعجز الكلمات عن وصف هاد الشعور اقسم بالله الا اختالطات المشاعر ديالي فرحان بكم لأن هدش كيغير حتى النظرة ديال التلميذ للإنسان ويقول شوف راه الناس فالمغرب كامل كيفكرو فيا وكيعانوني وكيزرع فيه حب الخير تحية عالية لكم من اللخر,positive,dialectal
إلى اللي يستحق الشكر هو انتما على المجهودات ديالكم والتضحيات ديالكم على ود ولاد الشعب تحياتي لكم,positive,dialectal
تحياتي لك ونرجو لك الشفاء العاجل أكيد ,positive,standard
فيديو عظيم تحياتي بهاد الطريقة بامكانك تتخصص في فلسفة العلوم خصوصا فلسفة الرياضيات,positive,standard
ممكن تعطينا المدينة لكي نحدد من بامكانه تسلمها منك وشكرا جزيلا ,positive,standard
والله حتى شكرا لكم جميعا تحية لولاد الشعب ,positive,dialectal
شكرا لك ايمان كالعادة لا تتأخر عن مساعدة اي شخص يحتاج للمساعدة وتدعم مكتبة الثانوية التأهيلية الجديدة بارفود بمجموعة من الكتب القيمة شكرا لك ايمان والشكر موصول عبرك للجميع,positive,standard
والشكر لكم ولكل من ساهم من قريب او من بعيد ولكل من سيساهم في نشر المعرفة في اي مكان في العالم الفكرة تنجح بفضلكم,positive,standard
شكرا جزيلا لك أكيد سيكون ذلك ,positive,standard
لواه اذا كان من يستحق الشكر فهو انتم ,positive,standard
الحمد لله دازت بخير مبغينا نسمعوا عليك غير لخبار الزينة صديقي,positive,dialectal
راك حشمتيني انت والله ومساعدتك للتلاميذ جميلة ورائعة شكرا لك ربيعة ,positive,dialectal
الشكر لك ربيعة مع كامل الإحترام والتقدير ونعتذر على التأخر في الرد,positive,standard
الله اخلي ليه صحتو أما الإعتراف فهاد لبلاد راه مكاينش والله اخليك ليه تهلا فيه,positive,dialectal
اللحظة تاريخية أول انتصار للمنتخب المغربي على المنتخب الكاميروني,positive,standard
اليوم نعرفو واش عندنا منتخب قوي ولا غير اشاعة الكامرون اختبار حقيقي بالتوفيق للمنتخب,positive,dialectal
أرجو ان تجدي نفسك في هذا العمل الجديد,positive,standard
إن قلبي يسلم عليك,positive,standard
نهاية المباراة بفوز الترجي مبروك الترجي فاز اداءا ونتيجة,positive,standard
مسكين فقد حياته وعائلته مكلومة لفقدانها ابنها الصغير يجب وقف هذا العبث,negative,standard
توقيت مناسب شكرا,positive,standard
شكرا شكرا انه لمن دواعي سروري أن احظى بتهنئة خاصة منك ارجو لك أيضأ سنة سعيدة كلها افراح ومسرات ,positive,standard
شكرا ايها الطيب وارجو لك كل الخير والسعادة في حياتك,positive,standard
هي قادرة على احتضان الشعب الجزائري والشعب المغربي مرة واحدة ارجو لها كل التوفيق,positive,standard
 جميل جدا كل ماقلته ارجو لك السعادة صديقي حسن فخر لي ان تكون صديقي,positive,standard
الشرف كل الشرف لي بصداقتك,positive,standard
بصحتك رد بالك راه مزال فيها شهرين,positive,dialectal
المشاكل التي أعيشها كفيلة بأن تنسف معنويات فيل أو ديناصور,negative,standard
هذا الشخص يجعلني أشعر بقيمة الإنسان وعظمة الإنسان,positive,standard
قاومي ولا تستسلمي,positive,standard
راك عزيزة وغالية والله ,positive,dialectal
الأحكام التي صدرت في حق المعتقلين تحتقر الشعب في الحقيقه,negative,standard
كأس العالم بدون المغرب وألمانيا ليس كأس عالم ,negative,standard
الحقيقة إنها أصعب فترة في حياتي,negative,standard
منتخبنا الوطني في كلمة واحدة فرض على العالم الرياضي احترامه,positive,standard
شكرا للمنتخب الوطني فرجتونا,positive,dialectal
اعتقد أنك بحاجة ماسة لزيارة أقرب طبيب نفساني انت حالة نفسية مرضية,negative,standard
هذا دليل كافي على حجم تخلف وعدم تحضر المجتمع السعودي آخر دولة في العالم تسمح المرأة بقيادة السيارة,negative,standard
الحمد لله شكرا للرب على متابعتي في تويتر شيء عظيم لا يصدق هذه ليلة مباركة ,positive,standard
غالبا لا أفضل الدخول في جدال مع أمثالك لكن ليس هناك دولة ترعى الشر وغارقة في الفساد أكثر من السعودية في العالم والسعودية هي الدولة الأقل شفافية والأقل ديمقراطية في العالم قبيلة تحكم مجموعة من القبائل هذا هو النظام السياسي في السعودية,negative,standard
انتم من صوت لأمريكا وأطلق فكرة العداء,negative,standard
تغريدة تعكس قسوة العيش في المغرب,negative,standard
عندما أقرأ منشوراتك كمسؤول عن قطاع الرياضة في السعودية استنتج حجم الأزمة القيمية والفكرية التي يعانيها المجتمع السعودي,negative,standard
نحاول ان نخفي مشاكلنا الواقعية بالإنغماس في العالم الافتراضي أصبحت مواقع التواصل الإجتماعي مكان للهرب من الواقع,negative,standard
مكتميزش بين ضربة جزاء وتسلل وتنتقد المدرب الزمر هدا,negative,dialectal
الفيفا دائما على علم بأنها تظلم المغرب وتحاول التغطية على ذلك بمثل هذه المبادرات التافهة,negative,standard
اداء رائع من الفريق الوطني المغربي المنتخب البرتغالي سرق الفوز فقط معليش معليش,positive,standard
رونالدو كون راجل ومتنكرش العشرة خيرنا سابق,positive,dialectal
اختي راه الكبت والجهل راه كينتجو الوحوش البشرية,negative,dialectal
ارجو لك الشفاء العاجل,positive,standard
نعم الإنجاب حتى الحيوانات تنجب اذن لا فخر في ذلك مشكلتنا اننا مجتمعات تنجب ولا تربي,negative,standard
المرجو من الإخوة العرب والمسلمين تشجيع المنتخب البرتغالي غدا لأن هذه هي الطريقة الوحيدة لضمان فوز المنتخب المغربي وشكرا,positive,standard
مصر نريد فوزا اليوم لا تخذلونا,positive,standard
البدوي يبقى بدوي حتى هذا الإحصاء بدون مصادر,negative,standard
يجب رفع طلب للفيفا يمنع من خلاله مشاركة المنتخبات الضعيفة كالسعودية,negative,standard
لقد انتصر الشيطان يا سادة,negative,standard
لايهم الخسارة جزء من اللعبة والمهم اللاعبين يراكموا التجربة ونستافدو من هاد المونديال للاستحقاقات قادمة برافو المغرب رغم الخسارة رغم كل شيء,positive,dialectal
بالتوفيق أسود الأطلس,positive,standard
لو انت إنسان عاقل السعودية أصل الشر في العالم ولو إنت إنسان عاقل فأنت تعلم ذلك,negative,standard
أعلم أن الدول تبحث عن مصالحها وهذا أيضا يدخل في إطار بحثنا عن مصالحنا مادمت السعودية تبحث عن مصالحها واي دولة تعادي مصالحنا نعاديها,negative,standard
السعودية حشدت الأصوات لصالح الملف الثلاثي الامريكي وضغطت للتصويت ضد الملف المغربي وصرح تركي آل بذلك علنا واحتفل الشعب السعودي بخسارة المغرب التنظيم كل هذه اسباب كافية,negative,standard
راه حتى التعادل زوين خصوصا الى ربحنا,positive,dialectal
أنت شخص يتحدث كثيرا ويحشر أنفه في كل شيء انت شخص تافه انت لن تستطيع بناء أي شيء لأنك تعتقد أن المال يشتري كل شيء وهذا خطأ انتم في السعودية صحيح تملكون المال لكن ينقصكم العقل,negative,standard
كل عام وانت بألف خير,positive,standard
ضحكتني الله امسخك ,positive,dialectal
المغرب يعلن رفضه المشاركة في مؤتمر وزراء الاتصال لدول تحالف دعم الشرعية في اليمن والذي سينعقد في يونيو في مدينة جدة السعودية نبارك هذه الخطوة,positive,standard
هنيئا للمنتخب الروسي الفوز برباعية جميلة,positive,standard
مخادع ويعتقد أننا أغبياء,negative,standard
السعودية هي أصل الشر في العالم وتذكر كلامي جيدا سيكون مستقبلكم جحيما,negative,standard
بعيدا عن السياسة كلنا مع المنتخب الروسي الشقيق في مباراة الافتتاح في كأس العالم,positive,standard
لكي أختصر الدول العربية تكره المغرب وهي تنافقه فقط هم لا يحبون الخير للمغرب المغرب عقدة بالنسبة للعديد من الدول العربية والتاريخ يشهد على ذلك,negative,standard
مع كامل احترامي زيدان اثبت نفسه كمدرب واخطاء الحكام والحراس جزء من اللعبة وليست لها علاقة بحظ المدرب او او,positive,standard
برامج رمضان عندما يغيب المعنى يصبح الكوميدي مهرجا تعواج الفم ماشي فن,negative,dialectal
لا أقوم بفعل الخير متطلعا لثواب الله بل لأني لو لم أفعله فلن أستطيع النظر إلى نفسي في المرآة,positive,standard
لأن لهم دين يظنون أنهم معفيون من أن تكون لهم أخلاق,negative,standard
ماتعيشه المجتمعات العربية والاسلامية اليوم من نقاشات عقلانية في قضايا دينية شبيه بما عاشته أوروبا مابين القرنين و انها بدايات عصر النهضة عندنا وعليه فنحن متأخرين بثلاث قرون عن الحداثة الفكرية,negative,standard
وبعض الشوارع أنظف من العابرين فيها للأسف,negative,standard
من نيتك المشكلة في حزبكم انكم سارطين نفس الكاسيطة يختلف المتحدث ونسمع نغس الخطاب إستراتيجيات التلقين تعطي مفعولها نختصر لك العمل ديالكم طيلة سبع سنوات فهاد المثال,negative,standard
ماوجد الإنسان إلا ليعيش حياة سعيدة,positive,standard
أنت غير موضوعي يا حسين ياسين اذا كان تدخل بن عطية عادي فجميع ركلات الجزاء التي تم إحتسابها في تاريخ كرة القدم غير صحيحة,negative,standard
البركة فراسك الله يرحمها ووسع عليها,positive,dialectal
الله يسقم سعدك,negative,standard
أن نكون أحرارا في المؤخرة أفضل من أن نكون عبيد في المقدمة,positive,standard
للأسف من لم يجد شيئا ليفعله اليوم يصبح مغني,negative,standard
لكن بعض الصحفيين للأسف افقدو الصحافة هدفها النبيل عندما اصبحوا مجرد أدوات لتلميع صورة حزب سياسي أو مجرد وسائل في يد جهات لتحقيق أهداف لا إنسانية وفي بعض الأحيان يجهزون على مستقبل شعب بأكمله الصحافة أكبر من بعض المرتزفة,negative,standard
لقد سئمنا من النسخ والتكرارات,negative,standard
هناك حجم كبير من التفاهة يحيط بنا,negative,standard
دائما جميلة مادو أحبك ,positive,standard
مجتمع منافق,negative,standard
 حبيبتي شكرا,positive,standard
لاتهرب اصطدم بكل قوتك,positive,standard
هذا الكوكب لم يعد صالحا للعيش,negative,standard
المشكلة أن الأساتذة الجامعيين مكيناقشوش البحوث مع الطلبة لوكانت المناقشة سيتم اكتشاف الخلل,negative,standard
في نظري ليفربول هو الرابح من الصفقة بالنظر لما ستعود به من أموال على النادي وكوتينيو لاعب جيد لكنه ليس إلى درجة أن ليفربول لايستطيع اللعب بدونه,positive,standard
عندما كنت فالجامعة في مدينة مكناس كنت كل يوم أقرأ عند كل شارع اجمع فكرة وكل يوم أجمع أفكار عندما وصلت لهذه المدينة أصبحت كل يوم افقد عشرة افكار,negative,standard
تمسكي بخيط العنكبوت ولا تستسلمي حبيبتي ,positive,standard
امنيتي هي أمنية كل عام توقف الحروب والعنف في العالم,positive,standard
الحب هو الحل الوحيد,positive,standard
نتمنى السلامة للجميع,positive,standard
واحد التلميذ قالوا الأستاذ جيب ولي أمرك خرج لقي واحد لمرة كبيرة رغبها تدخلوا مشى عند الأستاذ قالو هالواليدة ديالي صدقات هديك لمرة خالت الأستاذ شدو الأستاذ وعلقوا فالباب,positive,dialectal
كل التضامن مع الأستاذة,positive,standard
للأسف مجتمعاتنا تعيش في القرون الوسطى نحن من زمن آخر,negative,standard
مبروك للرجاء كأس العرش,positive,standard
لاخير في امريء متملق أينما مالت الريح يميل,negative,standard
فكرة جميلة,positive,standard
كل شيء فاسد هنا حتى الأضاحي,negative,standard
ممكن عنوان الكتاب شكرا,positive,standard
وحتى هاديك ضربة جزاء ياك البطولات العربية فيها بزاف ديال التخربيق,negative,dialectal
لايستحق البطاقة الصفراء,negative,standard
التسامح والصفح يجعلنا أقوى وأكثر حكمة ويجعلنا أكبر من المخطئ الذي سامحناه,positive,standard
الواقع العربي واقع متأزم ومعاق,negative,standard
نعم هذه هي القراءة الصحيحة للتراث تحياتي,positive,standard
الأغاني القديمة لها طعم خاص,positive,standard
في البيت بمفردي للأسف,negative,standard
اذا كنت لا تستطيع القيام بأشياء عظيمة إعمل أشياء صغيرة بمحبة عظيمة,positive,standard
ممكن لديك رؤية بعيدة للأمور,positive,standard
جميلة في الحقيقة,positive,standard
نعم هذا ما أقصده من يقولون ان الإحتجاج فتنة هم من ساهموا في طحن محسن نهم لم يدعموا الإنسان يوما,negative,standard
محسن فقدناه فجأة لكنه يبقى درس قاسي أمام إنسانيتنا وإختبار عميق لها لن نسكت على موته ويجب محاسبة المتورطين في موته ويجب فهم الدرس,negative,standard
صافي انا مرضت مقديتش نتحرك من بلاصتي نشف لية لدم فركابية وبزاف امي فتيحة حرقات راسها وهدا طحنوه فالماكينة,negative,dialectal
نعم التنازل أساس إستمرار العلاقات كل العلاقات كيفما كانت صداقة أو جوار أو حب أو زواج,positive,standard
نحن نتوهم أننا نعيش في عصر التواصل ن التواصل الحقيقي هو التواصل الواقعي وليس الإفتراضي ن التواصل الإفتراضي يفتقد للدفأ والحميمية,negative,standard
نحن في عصر اللاتواصل,negative,standard
ارجوك اعطيني اسم هذا الشخص للبحث على مقاطع فيديوهاته في اليوتوب وشكرا,positive,standard
تحية لكل من علمني وعبرهم تحية لكل مدرسي العالم,positive,standard
نحب من يكملنا,positive,standard
لن يدخل أي مواطن مغربي إلى جهنم ن الإنسان لايدخل إلى جهنم مرتين,negative,standard
مبروك,positive,standard
أجمل تعبير عن الشوق والحب سمعته,positive,standard
اتمنى لك التوفيق الشاف,positive,dialectal
خلي هذا التوقع للتاريخ هذه السنة لديهم فريق شاب ومتحفز ومدرب خبير,positive,dialectal
فعلا لقد انهزمت الذات العربية الإسلامية وظهرت عيوب العقل العربي,negative,standard
شرف لي نتلاقى بعلاء الظرافات حوار شيق داز معاه تسناوني قريبا على شوف تيڤي ,positive,dialectal
شكرا خويا هشام على الإستظافة القادم احلى ,positive,dialectal
