sentence,label
"عذراً"""" أديسون"""" : الـــــــــمـــــــــغــــرب هــو مصباح العالم",positive
"عذرا """"ايها الصباح"""" : الـــــــــــمـــــــغــــــــرب هو اشراقتي",positive
"عذراً """"روما"""" : كــــل الـــــــــــطــــرق تؤدي إلى بـــــلـــدي",positive
"عذراً """"روميو"""" : الـمـــغــــرب هو حبيبي وسيبقى الى الابد-"",★ صور نادرة وخاصة هدية لجلالة الملك,photo,",positive
"""هل تعلم :أن محمد السادس هو الملك و القائد الوحيد في العالم العربي الذي يتجول أحيانا بدون حراسة ؟",positive
هل تعلم :أن محمد السادس القائد والملك الوحيد في العالم الذي لا يحتاج الي مترجم في لقائاته الرسمية والغير رسمية ؟,positive
هل تعلم :أن محمد السادس يتقن خمس لغات أجنبية نطقا وكتابة ؟,positive
هل تعلم :أن ملكنا صاحب أقوى اصلاحات في العالم العربي بشهادة الغرب والشرق؟,positive
هل تعلم :أن محمد السادس هو الأجمل من بين كل الملوك و القادة في العالم؟,positive
هل تعلم :أن الملك محمد السادس أحب الملوك والرؤساء الى شعبه ؟,positive
هل تعلم :أن الملك محمد السادس سرق قلوب كل المغاربة ؟,positive
نعم أنا مغربي حر في بلد حر وملكي محمد السادس نصره لله.,positive
"فيان البحري: """"مسيرة مسيرة"""" أغنية وطنية رائعة احتفالا بالذكرى الـ  للمسيرة الخضراء",positive
"راسلتكم عدة مرات دون جواب ، شكر مسبق على حسن اهتمامكم .رمضان كريم""",positive
"عواشر مبروكة لجميع المسلمين.""",positive
أطال الله في عمرك إن شاء الله ولاية ثانية,positive
"تحية نضالية لإعضاء العدالة و التنمية""",positive
إنما هي عزيمة وارادة ,positive
"وفقكم الله لما فيه مصلحة البلاد والعباد""",positive
و تقبلوا السيد الرئيس تحياتي الخالصة.,positive
الحرية_لمعتقلي_الثلاثاء_الأسود,positive
أجبه بالأدب ...إن الله معي شكرا ,positive
وأشكر هذه الحكومة على انفتاحها اكثر على السوق الآسيوية ,positive
"تقبل الله منكم""",positive
موت موت يالعدو و الملك عندو شعبو,positive
 عاش الملك,positive
"""أنا حر و باغي نوقف هنا و نقول عاش الملك محمد السادس.",positive
واش كاين ما احسن من المغرب ؟؟؟؟ هههههههههههههه,positive
أقــسـم بـالله العـلي العـظيـم أن أبـقـى وفـيا لـمـلـكـي ولــوطــنـي•,positive
مـــهمـا كانت الظروف والله سـبحانـه رقيـب علـى صــــدق نــــيـتـي•,positive
"""إذا أحــبك  مليــون فأنـــا معــهم.. ♥",positive
وإذا أحـــبـــك واحـــد فـــهــو أنـــــا .. ♥,positive
وإذا لم يحبك أحد فاعلم أنني مـت .. ♥,positive
لأنـــنــــا كبـــــرنا فيها ... لــــن ننــكــر خــيرها,positive
لأنـنا نــعيش فوق ترابها ... سنـــــحترم قائدها,positive
لأنــنــــا مـغاربة أحـــرار .. ســـنرفض تخـــريبها,positive
هـي بلدنا .. ليس لنا غيرها .. ولـيس لها غيرنا,positive
ما الحـــب إلا لـوطــني و ما الــوفاء إلا لملـــكــي,positive
و ما الــرمــال الذهبية إلا فــي الصحراء المغربيــة,positive
"_,""بيعة محمد السادس ♥ ",positive
"عاااااااااااااااااااااااااااااااش الملك"",بيعة محمد السادس ",positive
 الشعارات التي ترددت  في المسيرة: ,positive
اسمع صوت الشعب : الشعب يقول نعم للدستور,positive
يا مغربي يا مغربي يا مغربية هدا الدستور مزية ليك و ليا,positive
هذا عهد مجيد بدستور جديد,positive
العملاء برا برا و المغرب أرضي حرة,positive
بالروح بالدم نفديك يا ملك,positive
الشعب يريد إسقاط الخونة,positive
"لبـيك مــغربي المسلم, فحماك لا يباع ♦ مــهما حاولـو سنفديك دائــــما بالأرواح",positive
أقول لهم موتو بغيظكم أيها المفسدون ♦ فالمغرب بلد الشرفاء و ليس الملحدون,positive
"قالو عني مخزني, بوليسي و بلطجي ♦ فكـفاني فخرا أن أحمي ديني و وطني",positive
"_,""أقــسـم بـالله العـلي العـظيـم أن أبـقـى وفـيا لـمـلـكـي ولــوطــنـي•",positive
مـــهمـا كانت الظروف والله سـبحانـه رقيـب علـى صــــدق نــــيـتـي•,positive
"_,""مبرووووووووووك و ألف مبرووووووووووووك ",positive
لقد تجاوزنا . محب لصفحة جلالته على الفايسبوك,positive
شكرا لكل من ساهم في نشر الصفحة,positive
مغاااااااربة و نفتخر و إنشاء الله نصل,positive
"""جهد مشكور سيدي الرئيس ",positive
"_,""سفيان البحري: أحسن كوبل ملكي في العالم ❤️ الملك محمد السادس والأميرة للا سلمى اليوم السبت في باريس 💜 ",positive
صراحة من أعظم النعم التي جاد بها الله على المغرب: الملك محمد السادس نصره الله 👐,positive
شخصية رائعة رجل مناسب في مكان مناسب ياريت إكون الطاقم ديال الحكومة بحالو,positive
بفضلكم يستطيع المغربي أن يرفع رأسه في العالم العربي و يقول أنه مغربي ..,positive
"""أعانك الله لما فيه خير للأمة ",positive
"الله يعز السيد الوفا و السيد بنكيران ويحرم ليهم الواليدين و ينصرهم على أولاد الحرام""",positive
نظافة يدكم يشهد به الخصوم قبل الأصدقاء.,positive
"""هذا هو كلام المعقول ",positive
والله تم والله تم والله اشرف من دافع عن الشعب وربما اكتر من عبد الرحمن اليوسفي تأملوا في المغرب كيف كانت الحقبة قبل ان يمسكها بن كيران كنا والوا لكن الرجل خدم البلاد وقدم الكتير لم ولن نرى رجلا مثله في البلاد والأيام بيننا يا من لم تنصروه وانتم اقلية,positive
بعد خسارة رئاسة الحكومة و خسارة الامانة العامة للحزب، نعلن رسميا نهاية مرحلة بن كيران السيئة,positive
الله يرحم اللي زار و خفف,positive
تحية احترام للسياسي و المناضل و من يقول الحق و لو كان مرا..تحية خالصة لرجل السياسة بامتياز السيد عبد الاله بنكيران المغربي البسيط في تعبيراته و حتى في مقابلاته الشيء الذي لا يروق لاصحاب البريستيج و البروتوكولات الخاوية و اصحاب البطون الممتلئة بأموال الشعب..ليس المهم ان تبقى أمينا عاما لحزب تغيرت جل معالمه التي كانت في عهدك و عهد من سبقوك..الاهم انك أخيرا سترتاح من تواجدك بمكان لن تكون فيه الكلمة لك و لن تؤخد فيه قرارتك بعين الاعتبار,positive
لقد أخطأ وزراء حزب العدالة والتنمية في تآمرهم على بنكيران وسيفقدون كلهم دون إستتناء مناصبهم التي أوصلهم اليها هذا الزعيم الحقيقي ولن تتاح لأي منهم الفرصة لإسترجاع هذه المناصب. التاريخ يثبت لنا انه لا يمكن لأي أن يصبح زعيما.,positive
اودي اسكتوا انه سينبعث من رماده و سترون انه بن كيران وما ادراك ما بن كيران,positive
كلما في الامر هو ان بن كيران رجل صالح وادى الامانة عل احسن ما يرام بن كيران ه اول رئيس حكومة عبر التاريخ المغربي منذ ان استقلينا عرف معه الشعب المغربي العدل والديمقراطية وهذه السياسة التي نهجها بن كيران تضر بعض المسؤولين الكبار في المغرب اللين يخافون المحاسبة لهذا شتتوا شمل العدالة والتنمية وتركوا هذا الحزب ليكون اعضائه هم الاخرون مثل الاحزاب الاخرى التي حكمت المغرب اكثر من ستون سنة وهم ينهبون ويهربون في اموال المغاربة ويريدون ان يكون العدالة والتنمية مبلغا للمخابرات المغربية مثل ما يقوم ب الاحزاب الاخرى,positive
المسيرة النضالية للاستاد بنكيران مستمرة,positive
وحزب العدالة والتنمية حزب المؤسسات حزب ديمقراطي ونحن نفتخر به,positive
والحاج عبد الإله سيبقى مناضلا متميزا في الحقل السياسي المغربي.,positive
حزب النذالة والتعمية مصيره هو مزلة التاريخ.,positive
ابن كيران نزل وامطار الخير ستنزل عيد واي عيد!هنبئا للمغاربة وشكرا لحزب العدالة والتنمية كنتم رائعين,positive
"تحية لكم ولحزبكم. والسلام عليكم""",positive
أولا وقبل كل شيء أحبكم في الله وأدعوا لكم ولملكنا وكافة الشعب المغربي بكل الخير كلما دعوت لنفسي و أهلي ,positive
شكرًا للكاتب,positive
و شكرًا,positive
انصحك ان تشم رائحتهم الزكية,positive
لولا هذا الرجل الشريف ما كان لحزب العدالة مكان في الحقل السياسي ولا حصل على الفوز في الانتخابات لولايتين .,positive
كيفاش درتي ليها تبا على بلاد,positive
"لشكر بالصحة و الراحة تستحق وسام مخزني بجدارة و استحقاق""",positive
السلام عليكم  سيدي رئس حكومة نعم الرجل النيزه  الدي صدق  وعد  كل مناهج في صندوق الدعم التماسك الاجتماعي كلها جيد في خلال عرقلة نصار لشئم لصناديق التقاعد متمثلين في نقابات  لكن هيهات أنا جد متفائلة من فوزك على حكومة سوف أضل أدعمك حتى النهاية واصل ليهمك شيء الشعب يحبك جدا ياعميد مرجعيات الدينية في المعرب  ياوجه الخير على الشعب المعربي,positive
"""اخخخخخ اسي بنكيران الله يكون فعوانك منصب رئيس الحكومة ليس بالسهل ",positive
وهناك من يقول لا مدارو والو بغيتهوم اجيبو ليا بحال رجال العدالة والتنمية,positive
الله يكون فعوانكم وانا كندعي معكم ليل نهار ورمضان مبارك عليكم,positive
وبالتوفيق للولاية الثانية إن شاء الله تعالى,positive
موقع وليلي ، مجموعة أثرية رائعة بالمغرب,positive
الله الله الله واكبر على الخيير بلادناا,positive
الحسيمة جوهرة المتوسط وأجمل مدن شمال إفريقيا,positive
الثنائي كريم الأحمدي وسفيان أمرابط يتألق ويساهم في الفوز والتأهل أمام ويليم في كأس هولند,positive
المغرب زوين,positive
بالصحة فطوركم،,positive
نناشد سيادتكم مجددا للتدخل لدى السيد وزير التعليم العالي من أجل صرف المنحة المجمدة لطلبة الماستر حاملي إجازات...فالله شاهد علينا أننا في حاجة ماسة لها فبدونها نجد صعوبة في إستكمال الدراسة... وشكرا مسبقا.,positive
"جزاكم الله خيرا ساعدونا بتبلبغ طلبنا إلى رئيس الحكومة.""",positive
"""كتحلموا اغلبية الشعب سيصوت على هدا الرجل ",positive
اشهد بربي ان هدا الرجل الوحيد اللدي يستحق رئاسة الحكومة واشهد بربي ان نيته صافية ورجل متواضع بنكيران ولد الشعب والولاية التانية ان شاء الله تعالى,positive
واكيد ان شعبنا لن يسمح لرجل مثله بالتنحي عن رئاسة الحكومة,positive
وانا كنفتخر وبزاف ان هناك حزب اسمه العدالة والتنمية,positive
وكنفتخر ان هناك رئيس حكومة اسمه عبد الاله بنكيران,positive
وكنفتخر بكل رجال ونساء العدالة والتنمية,positive
وديما العدالة والتنمية,positive
الله يحفظها من الزلزال زينة تبارك ألله,positive
"هكـذا تبـدو مـدينـة "" إفـران المغربيـة "" فـي فـصـل الشتاء والتـي تصنـف ضمـن أجمـل المـدن العـالميـة من حيـث المساحـة الخضـراء ونظـافتهـا",positive
تحياتي لشعب المصري,positive
لقاء ممتع فيه كل شيء.صراحة,positive
كتحمقني هاد لمدينة,positive
واو واو كتحمق صافي بشحال ثمن اوتيلات فيها عفاك اشوف تيفي,positive
"""كتحلموا اغلبية الشعب سيصوت على هدا الرجل ",positive
اشهد بربي ان هدا الرجل الوحيد اللدي يستحق رئاسة الحكومة واشهد بربي ان نيته صافية ورجل متواضع بنكيران ولد الشعب والولاية التانية ان شاء الله تعالى,positive
واكيد ان شعبنا لن يسمح لرجل مثله بالتنحي عن رئاسة الحكومة,positive
وانا كنفتخر وبزاف ان هناك حزب اسمه العدالة والتنمية,positive
وكنفتخر ان هناك رئيس حكومة اسمه عبد الاله بنكيران,positive
وكنفتخر بكل رجال ونساء العدالة والتنمية,positive
"وديما العدالة والتنمية""",positive
شفشاون المدينة الزرقاء التي لفتت أنظار العالم ببساطتها وجمالها الساحر,positive
الله يعينك على اعدائك يا رب ... فوزك هو فوز الوطن...ان شاء الله فائزون باذن الله...,positive
"""حفظك الله يا سيدي رئيس الحكومة ..",positive
أنت فعلا فخر لكل مغربي ,positive
أصدق سياسي مغربي مر على الحكومات المتعاقبة ..,positive
أنا مع بنكيران و سأصوت عليه لي بحالي ادير جيم,positive
الله يعونك على المفسدين,positive
"""السلام عليكم السيد  الوزير ، الاخ  عبد الالاه ابن كيران , ذكرى مولد مبارك كريم ، و سنه مليئة بالانجازات",positive
مبرووووووووووك سي عبد اﻻله👍 👍تحياتي ولد هوارة,positive
بالتوفيق نتمنى ان تصلحوا ما افسده المفسدون  نحن معكم,positive
وفقكم الله لما فيه خير البلاد والعباد ، وجعل لكم على الحق اعوانا,positive
"""هنيأ. أحببتك في الله",positive
يعجبني فيك صدقك وإخلاصك...كنت حكيما في قراراتك وفي البرنامج.,positive
"أشكرك على صدقك و تفانيك وأسأل الله أن ينجيك من كل سوء وأن يجعل لك طريق لنجاح. إنه سميع الدعاء.""",positive
نحن شباب مغاربة في الغربة متعاطفين مع حزب العدالة و التنمية كلنا أمام التلفاز ننتضر بشوق هدا اللقاء التلفزيوني وفقك الله دولة الرئيس,positive
فصل آخر من فصول المتعة السياسية مع رجل الصدق والوفاء مع رجل المواقف والانجازات سنكون في تلموعد وفقك الله,positive
أنا شخصيا أشكركم على كل ما قدمتم من إنجازات وصوتي دائما لحزبكم حزب العدالة وتنمية,positive
استاذ عفى الله عمى سلف من خصوص الشعب وليس رئيس الحكورة يجب ان تطلب من الامة هل ستسامح ام لا يا ناقص اين الدين اين عدل عمر اين حزب العدالة اي عدالة. اما هذه الارملة اذا سمحت باجرتك لشهر واحد عاشت بها سنة,positive
الله يوفقكم على اصلاح البلاد، و الله يسر ليك الأمور وللصادقين ممن معك,positive
تحياتي لرئيس الحكومة عبد الإلاه بنكران,positive
الله إوفق اسي عبد الإله,positive
الله ينصرك على المفسدين..,positive
"""يا ودود يا ودود يا دا العرش المجيد يا مبدئ يامعيد يا فعال لما تريد أسألك بنور وجهك الدي ملأ أركان عرشك وأسألك بقدرتك التي قدرت بها على جميع خلقك وأسألك برحمتك التي وسعت كل شيء لا إله إلا أنت ، يا مغيث أغثني .",positive
اللهم وفق وسدد خطى السيد عبد الإله بن كيران  لما تحب و ترضى واجعله مفتاح للخير مغلاق للشر ، آمر بالمعروف ناهي عن المنكر,positive
اللهم و أحفظه  من شر الأشرار و كيد الفجار و احفظه آناء الليل و أطراف النهار,positive
اللهم واجعله وصي اليتامى و خازن المساكين .,positive
"اللهم و اصلح بطانته وخذ بيده واعنه على عمل الخيرات.""",positive
"""انجازاتكم تشهد عليكم كأفضل حكومة في تاريخ المغرب.",positive
"وفقكم الله وأيديكم بنصره""",positive
منور ماشاء الله,positive
الصحراء لا يمكن بتاتا ان تكون الا مغربية، اهلها كرمائ و محافظين و جوها جميل جدا و الجمال يطوف بها من كل جانب خصوصا المراة الصحراوية ,positive
تحياتي لك من تمكروت إقليم زاكورة حفظك الله ورعاك,positive
تبارك الله على الزعيم,positive
سنصوت لك وستنجح ولكن هناك أيادي خفية ستتدخل في خسارتك ليك الله أسي بن كيران,positive
أتمنى أن يفوز السيد بن كيران بالولاية التانية بادن الله لأنه احسن نخبة سياسية في تاريخ المغرب,positive
أكيد المغاربة غادي اتنادم معاهم الحال الى مصوتوش على العدالة و التنمية لانه وبكل صراحة هاذ الحزب أضعف الايمان مكايشفروش,positive
كلنا معك,positive
معك بنكيران و سأصوت عليك وخا ماوفيتيش بجميع وعودك و لكن على الأقل ماكتشفرش فلوس الشعب,positive
أزيلال فيها رجال يحبون الرجال وأنت أخي بنكيران من الرجال نتمنى لك التوفيق والنجاح في تحقيق العدالة الاجتماعية والاقتصادية والسياسية والله ينصرك على أعداء الدنيا و الدين,positive
الله ينصرك على المفسدين، إن شاء الله انتصار كبير,positive
اتمنى لك التوفيق (عبد الاه بن كيران),positive
الحزب الوحيد إلي فيه الضوء في المغرب هو العدالة و التنمية,positive
هو في الحقيقة مغنلقاو بحالك اسي بن كيران. و لهذا سنصوت جميعا للعدالة و التنمية. بالتوفيق ان شاء الله.,positive
انا اتق في السيد عبد الإله بن كيران رجل من خيرات رجالات الوطن يحارب الفساد بقبضة من حديد اللهم اعنه وسدد خطاه كل التقدير والاحترام لهدا الشخص,positive
،اصمدوا ضد الظلم ورالفرج قريب ان شاء الله ,positive
مقال رائع,positive
كان افظل حاكم عربي,positive
كل التوفيق لمنير ونشألله قبول نضمامو للمنتخب المغربي,positive
رائع جدا تحليلك للولقع المغربي وكذلك العربي ,positive
من النادر أن أجد نفسي في حالة وفاق مع كل نص أقرءه ولو على سبيل الديالكتك، لكن وصفت وشرحت الدماغ المغربي بدقة.,positive
"اعيش في اوربا 30 سنة الان, تركت المغرب بعد البكالورية لادرس و اعيش بعيدا عن البلاد. الحمد لله, خير مافعلت.",positive
التسامح والعفو من القيم الإسلامية الرفيعة,positive
فكل بني آدم خطاء وكما أن الوطن غفور رحيم,positive
فأهلا بك أخي منير. ,positive
عاش الحدادي ولا عاش من خانه، مرحبا في صف الاحرار. ,positive
ان الوطن غفور رحيم. خليوه اشارك مع ولاد بلادو.الى مادار والو عاد نتحاسبو معاه ,positive
عسئ ان تكرهوا شئ و هو خير لكم الخير في مااختاره الله ,positive
وتحية الأسود الأطلس ووفقكم الله في مونديال روسيا 2018. ,positive
مرحبا بك في بلد اجدادك٠عاش الملك محمد الساديس ,positive
كما قالها حكيم زياش للصحافة الهولندية أنا مغربي ولن ألعب إلا لبلدي المغرب,positive
شكرا اورونج فالا نترنيت تصل الينا حتى البوادي وان لم اقل الجبال فاورنج انهت عزلتنا شكرا مرة اخرى عيد ميلاد سعيد مع المزيد والحرص على العمل ,positive
هاتفي هو من نوع سوني بالنسبة للجودة ممتازة,positive
الله يوفقك يارب لعب صغير عندو مستقبل زاهر مع اي فريق ومع المنتخب,positive
حياتي انتي,positive
قربان عيونك أنا,positive
والله انتي تستاهلين كلشي ادعيلج,positive
ذاب الثلج من قلبي عند رؤياك,positive
نتي الملكه بجد,positive
مشاء الله اجمل مارات عيناي زييين ديال العالم راها,positive
هلا بيك يالحبيبه,positive
انتي حبيبه الكل يااجوجو,positive
انتي احلا وحيات الله,positive
انيقة و جميلة مشاء الله عليك و عندي ليك طلب ادا ممكن,positive
الله يبارك ربي يحفضكم لبعض,positive
أتمنى سنة 2018 سعيدة على كل المغاربة,positive
مع مثل هؤلاء الشيوخ نحن في طريق التقدم. الحمد لله,positive
بارك الله فيك شيخنا النهاري الله يكتر من امتالك قلت كلمة,positive
بتجننى والله,positive
تحية لسيد العماري,positive
واتمنى لكل مسلم وغير مسلم في المغرب سنة سعيدة مليئة بالافراح ورفاه و نجاح وصحة ورزق الوفير وإستقرار وامن وامان,positive
منوووورة😀😊,positive
ماشاء الله زوينة الله يحفظك اختي العزيزة نموت فيك,positive
الكلاخ المبين..,positive
اححح على الجمال,positive
بسم الله مشاء الله تدوم الابتسامه,positive
باحثون مغاربة ونعم البحث ,positive
غزالة تبارك الله الله يوفقك,positive
أنا أحبك امرأة,positive
ماشاء الله على هذا الصوت ,positive
كتحمقني والله زويييونة تبركاالله عليك,positive
شكرا هيسبرس على هذه الصور التي ذكرتني بالمكان الذي عشت فيه. الحمد لله على الغربة رغم قساوتها.,positive
كم انت جميلة,positive
قمر,positive
😍احلا صباح تسلم هذه الطلة الرائعة,positive
نجوة الجميلة والرائعة ,positive
الحمد لله على السلامه أن شاء الله كانت رحله موفقه ..والله اليك وحشه يابو ضحكة الحلوه تعودنا عليك شلون بلوه,positive
منوره نجوي فاروق الله يوفقج يارب,positive
مساء النور استاذة نجوى بالتوفيق والنجاح,positive
احلا صباح عليكي يا فنانه,positive
انيقة جدا ماشاء الله,positive
اى القمر تا والعسليه,positive
فله شمعه منوره ,positive
على فين يا قمر,positive
يا ارض احفظي ماعليك,positive
جمالك واناقتك نجوى,positive
أسلوبك هو المبهر,positive
و من عمق القلب اتمنالك التوفیق الدائم في الحیاة و الفن,positive
اغنيتي مفضلة هي موجوع ڨلبي عن جد حبيتها ونتمنى لك مزيد انشالله موفقة,positive
دائما نجمة و متألقة و متميزة و انا شخصيا يعجبني صوتك بزاااف و احس فيه نوع من الحنان ,positive
يعجز اللسان عن وصف مكانتك في قلبي ياأحلى نجوى فالكون,positive
نور على نور ... ^هل ما زال قلبك موجوع هاها..😁 ؟ ,positive
أختي نجوى الغالية ربي يحفظها راك غزالة مشاء الله,positive
حلوة يانجوي,positive
رائعة جدا انتي ورني داركم فين جات,positive
والله ملاك ما شاء الله عليك نجوي,positive
قمر والله يا نجوى,positive
ليس صوتك الوحيد الجميل يا نجوي وجهك ايضا اكثر جمالا,positive
ربي يحفظك ان شاء الله,positive
مهبول هدا قالك روسيا اشهد البيض المنقي الله يحفضك من العين,positive
أختي نجوى الغالية ربي يحفظها راك غزالة مشاء الله,positive
بالصحة والراحة,positive
منورين ربي يحميكي,positive
بحبك يانجمه,positive
عافك كلي لي غير واش مزوجة الا نجي نخطبك ههه,positive
مشاءالله عليكي منوره ياغاليه احلا واجمل فنانه بالكون,positive
مو لاقى اليك وصف يا موهرة قلبى,positive
الصوت الجميل,positive
يوم بعد يوم احلا,positive
عسل.....احبك...,positive
روعه,positive
جوى انتي جميلة و رائعة و صوتك جميل جدا و انا اتمنى لك دائما النجاح و السعادة في مشواركي الفني,positive
انرتي نجمتي,positive
تبارك الله عليك نجوى و عندي طلب ادا ممكن نتكلم معك,positive
الف مبروك و ربنا يوفقك,positive
ربي يوفقك ويحفظك,positive
صاحبة صوت ذهبي ربي يسعد ايامك,positive
المزيد من التألق زيدي نجاحاتك لازيد فخري بك😍😍 احبك نجوى,positive
نتي اللي كانية ومكاين ماحسن 😉,positive
ههههه جميل ,positive
ان شاء الله حعمل لكم حفل كبييير ما تزعلو,positive
"ن شاءالله تكوون تجربه مفيده وكويسه جدا"" ليكي",positive
وتكوون ايامك مليئه بالنجاح لانك موهبه ممتاازة وبالتوفيق ان شاءالله ف جميع اعمالك ,positive
لك شو إحساس شو صوت شو دفئ شو بدي احكي مابعررررف.... ,positive
برافو على التواضع. صوتك واحساسك جميل اهم حاجة هي الكلمات المعبرة واللحن الجميل.,positive
بالنجاح والتوفيق يا نووووجه انتي صوت ذهبي وافضل من ناس كتيييير,positive
ونتمني لك المزيد من النجاح,positive
كل النجاح والتوفيق إن شاء الله.. سيري بخطا هادئة. كوني انتي برقيكي ولا تتشبهي بأحد ولا بنمط,positive
أتنبأ لكي بمستقبل مميز بإذن الله تعالى,positive
نورتى مصر يا فنانه ياريت تشرفيا في الغردقه,positive
الله اوفقك كنشوفك فنانة محترمة الله اخليك لوالديك,positive
منورين ربنا يبارك فيكم يا رب بالتوفيق ان شاء الله يا ست الكل,positive
انت تبارك الله عليك فنانة بلا زواق وإنشاء الله انا متاكد اعمالك غادي تعجبنا,positive
هههه نتي ديما نجحا آلابغتي تولي حتي وزير فالمغرب فالبلاصه,positive
اختي نجوا انتي إنسانة اعطاكي الله قبول فحافضي عليه وتدكري دائما مقبرة الفنان هي الغرور.,positive
😍😍😍ما في اجمل من اني ارجع من مدرستي وشوف صورتك واسمع اغانيكي نجوى😍😍❤ ما في أروع منك الله يخليلي ياكي😘 ومسا النور,positive
مساء أجمل وردة في حياتي,positive
و الله محبتكم هي كل شيء,positive
بالتوفيق الدائم يارب,positive
أغانيك وخامة صوتك رائعة ما شاء الله عليك,positive
صباح الخير يا نجوي يا اجمل وارق فنانة والف مبروك ودايما في تالق وطبعا بشكر جمهور المتزايد علي دعمه,positive
الحمد لله طاير عقلنا بأغنيتك,positive
ماشاءالله صوتك جميل وغنية اجمل بس ناقصك يانجوئ فرقة رقص وغنوة حماسية عشان تكوني الأفضل المخرج ولبسك حلووو,positive
الله يسعد صباحك,positive
بالتوفيق لمنتخبنا الوطني انشاء الله نتيجة مشرفة بمونديال روسيا ,positive
صوتك بي احساس رائع,positive
تحليل رائع في الصميم,positive
المغاربة حنا راه رجالة من طنجة للگويرة ,positive
تحية لهم .,positive
ممتاز:لو لم يكن للبطاطس شأنا لما خلق لها مركزا دوليا في البيرو و هو (بنك البطاطس) ,positive
ان شاء الله يولع و نشوف ايات الله فيه دنيا و اخره ........ ولسه ان عذاب ربك لواقع,positive
تحياتي لك يا دكتور مع فائق الاحترام و التقدير ,positive
شكرًا لك على مجهوداتك الجبارة، لتسهيل و تقريب علم النفس لعامة الناس.,positive
شكرا جزيلا على التقاسم.قرار جميل لان هناك قضاة ظلوا في اماكنهم اكثر من عشر سنوات تجدروا واصبح لديهم اصدقاء وسماسرة كثيرون وخصوصا في محاكم الاسرة; ,positive
استمري متابعك من العراق احلى اغنيه ويلو .,positive
اقسم بلله انتى اجمل صوت سمعتو فى حياتى,positive
نعم شيء جميل الا انه يجب المواصلة في هدا ,positive
انتظر بشغف القيام بتحقيقات وتحريات دقيقة على مستوى الجماعات بصنفيها القروي والحضري. ,positive
الله ينصر ملكنا محمد السادس,positive
انت فخر ومثال ف الكفاح والنجاح وهذا اكبر دليل ان نجاحك بلاواسطه ,positive
حبيب الكل يا أبا مكة,positive
موفق إن شاء الله سبحانه.,positive
مبروك ي عالمي ربنا يباركلنا فيك,positive
لأنك راجل و ابن راجل و ابن أصول ❤️,positive
الله يراضي قلبك يا خلوق,positive
احسن لاعب في أفريقيا ,positive
